,0,1
1243,2400,742
1244,1700,809
1245,2000,1106
1246,3000,1081
1247,1000,163
1248,500,719
1249,1000,294
1250,2500,949
1251,1100,808
1252,2000,1109
1253,800,292
1254,1400,1037
1255,5100,553
1256,1300,884
1257,1500,949
1258,500,519
1259,1100,505
1260,2000,1073
1261,700,885
1262,1500,878
1263,1700,520
1264,1700,1037
1265,1200,774
1266,1200,774
1267,2000,1043
1268,1200,299
1269,1200,745
1270,2700,949
1271,2000,75
1272,1200,472
1273,1000,1037
1274,1700,1086
1275,1000,861
1276,2000,100
1277,1000,774
1278,1200,767
1279,1100,214
1280,3300,553
1281,1000,110
1282,1500,1043
1283,1100,216
1284,1000,1109
1285,200,808
1286,1200,339
1287,2500,1111
1288,1000,1102
1289,2200,949
1290,1900,1042
1291,3000,520
1292,1500,741
1293,1500,551
1294,800,146
1295,1500,65
1296,2500,1073
1297,1000,38
1298,2000,1106
1299,1500,1110
1300,1900,299
1301,1400,449
1302,2500,1104
1303,1700,1041
1304,1700,341
1305,1700,339
1306,1500,642
1307,2600,889
1308,500,1041
1309,1500,371
1310,1800,869
1311,1100,697
1312,2100,400
1313,800,948
1314,1500,1043
1315,1500,473
1316,2800,203
1317,2200,977
1318,400,948
1319,1700,476
1320,1300,1073
1321,1500,554
1322,1300,807
1323,1100,337
1324,1900,518
1325,800,402
1326,1800,984
1327,2700,949
1328,2700,742
1329,1900,1073
1330,1000,767
1331,1300,470
1332,2300,644
1333,3600,1104
1334,1000,369
1335,1700,1044
1336,1600,948
1337,500,771
1338,1500,475
1339,1000,370
1340,1000,36
1341,2900,582
1342,2400,918
1343,2500,982
1344,800,38
1345,1300,767
1346,1300,886
1347,1000,374
1348,1000,550
1349,1000,948
1350,1500,1110
1351,1800,169
1352,1300,504
1353,700,505
1354,1500,767
1355,2200,1039
1356,800,132
1357,1500,948
1358,1500,506
1359,1200,887
1360,700,333
1361,2000,1103
1362,1200,470
1363,800,295
1364,1000,368
1365,1000,1073
1366,1300,767
1367,2000,154
1368,1500,404
1369,2500,920
1370,1000,504
1371,1000,504
1372,700,977
1373,1500,1053
1374,2200,883
1375,1200,767
1376,2100,742
1377,900,719
1378,700,771
1379,600,858
1380,1300,64
1381,3000,470
1382,300,767
1383,1200,214
1384,2300,203
1385,2400,948
1386,1000,160
1387,2000,1110
1388,1500,552
1389,4500,553
1390,3000,520
