,Parent,Child,Day,TimeSpan,DistanceMeter,In5Mins
9416,강서,개화,4,18,1800,1
9417,광진,구의,4,19,2000,1
9418,영등포,영등포,4,21,2700,0
9419,강북,우이,5,2,1100,1
9420,성북,종암,5,8,2500,1
9421,동작,동작,5,9,1400,1
9422,강북,미아,5,10,1600,1
9423,강남,영동,5,10,1900,1
9424,은평,역촌,5,11,800,1
9425,종로,종로,5,12,1000,1
9426,강남,삼성,5,13,1400,1
9427,마포,서교,5,13,1200,1
9428,영등포,영등포,5,14,3500,1
9429,송파,마천,5,16,700,1
9430,마포,서교,5,16,800,1
9431,성북,종암,5,21,1700,1
9432,양천,신정,5,21,1000,1
9433,강서,등촌,5,22,1200,0
9434,강동,천호,5,23,2100,1
9435,중랑,중화,6,1,1500,1
9436,성동,금호,6,1,2000,1
9437,서초,방배,6,2,2300,0
9438,양천,신트리,6,3,1800,1
9439,동대문,휘경,6,9,600,1
9440,관악,관악,6,14,3000,1
9441,서대문,홍은,6,16,400,1
9442,중랑,면목,6,18,1000,1
9443,송파,잠실,6,18,2000,1
9444,성북,돈암,6,20,2000,1
9445,은평,녹번,6,21,1000,0
9446,동작,백운,6,22,2400,1
9447,강남,역삼,6,22,1200,1
9448,성북,종암,6,22,1000,1
9449,영등포,당산,6,23,1000,1
9450,동작,노량진,0,1,700,1
9451,강동,암사,0,4,300,1
9452,은평,진관,0,5,1500,1
9453,강서,화곡,0,6,1800,1
9454,송파,마천,0,12,3200,0
9455,구로,고일,0,12,2100,0
9456,성동,왕십리,0,16,600,1
9457,강동,고덕,0,17,3000,0
9458,강동,고덕,0,17,1500,1
9459,관악,난곡,0,18,1200,1
9460,구로,독산,0,20,2700,1
9461,강서,화곡,0,20,2000,1
9462,중랑,중화,0,21,1600,1
9463,중랑,신내,0,21,2000,1
9464,강북,우이,0,23,800,1
9465,광진,중곡,1,2,1200,1
9466,도봉,도봉,1,8,1200,1
9467,중부,을지,1,9,800,1
9468,성북,길음,1,12,1600,1
9469,마포,서교,1,13,1100,1
9470,성북,길음,1,13,1500,1
9471,도봉,방학,1,16,800,1
9472,강서,개화,1,18,2800,0
9473,중랑,중화,1,18,3300,0
9474,관악,봉천,1,18,2100,1
9475,송파,방이,1,19,2500,0
9476,노원,월계,2,6,500,1
9477,은평,역촌,2,7,1000,1
9478,강남,영동,2,10,2200,1
9479,영등포,대림,2,14,300,1
9480,서초,서초,2,17,1700,1
9481,노원,상계,2,17,1800,1
9482,강북,우이,2,20,400,1
9483,송파,방이,2,21,2500,1
9484,마포,서교,2,22,1100,1
